City_ID,City,Country,Lat,Lon,Max Temp,Description,Hotel Name
210,Amarillo,US,35.222,-101.8313,82.24,clear sky,Microtel Inn & Suites by Wyndham Amarillo
211,Tabuk,SA,17.4189,121.4443,88.72,clear sky,Golden Berries Hotel and Convention
212,Kapaa,US,22.0752,-159.319,84.18,few clouds,Sheraton Kauai Coconut Beach Resort
213,Palmer,US,42.1584,-72.3287,78.24,few clouds,Wedgewood Motel
214,Aransas pass,US,27.9095,-97.15,86.02,clear sky,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
215,Umm lajj,SA,25.0213,37.2685,85.64,few clouds,Moon light Furnished Units
216,Auki,SB,-8.7676,160.7034,83.79,few clouds,Auki Motel
217,Buala,SB,-8.145,159.5921,84.78,few clouds,Maringe Lagoon Lodge
218,Makakilo city,US,21.3469,-158.0858,84.52,few clouds,Marriott's Ko Olina Beach Club
219,Gizo,SB,-8.103,156.8419,83.82,few clouds,Imagination Island
220,Nanakuli,US,21.3906,-158.1547,85.95,few clouds,Camp Pālehua
221,Honiara,SB,-9.4333,159.95,83.98,scattered clouds,Heritage Park Hotel
222,Kirakira,SB,-10.4544,161.9205,83.5,few clouds,SanBiz Lodge
223,Atuona,PF,-9.8,-139.0333,77.59,few clouds,Villa Enata
224,Faanui,PF,-16.4833,-151.75,78.66,few clouds,Bora-Bora Pearl Beach Resort & Spa
225,Elat,IL,29.5581,34.9482,80.44,clear sky,Club Hotel Eilat
226,Brindisi,IT,40.5833,17.6667,77.77,clear sky,Agriturismo Tibitone
227,Burley,US,42.5357,-113.7928,75.16,clear sky,Fairfield Inn & Suites by Marriott Burley
228,Mae sot,TH,16.7167,98.5667,82.67,few clouds,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
229,Urumqi,CN,43.801,87.6005,85.15,clear sky,Hua Ling Grand Hotel Urumqi
230,Hamilton,BM,39.1834,-84.5333,78.22,clear sky,Six Acres Bed & Breakfast
231,Duncan,US,34.5023,-97.9578,88.05,clear sky,Days Inn by Wyndham Duncan
232,Balkanabat,TM,39.5108,54.3671,82.51,clear sky,Nebitchi Hotel
233,Elk city,US,35.412,-99.4043,80.82,clear sky,Hampton Inn & Suites Elk City
234,Cayenne,GF,4.9333,-52.3333,78.1,clear sky,Hôtel Le Dronmi
235,Erenhot,CN,43.6475,111.9767,82.24,few clouds,Erenhot Rurouni Youth Hostel
236,Dasoguz,TM,41.8363,59.9666,87.75,clear sky,Hotel Erik
237,Iracoubo,GF,5.4802,-53.2011,76.75,few clouds,Le Gîte d’Iracoubo
238,Gazanjyk,TM,39.2446,55.5154,82.13,clear sky,Railway motel
